age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
59,Self-emp-not-inc,32537,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
51,Self-emp-not-inc,174824,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,8614,0,40,United-States,>50K
53,Private,200190,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,>50K
28,Private,215955,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United-States,>50K
43,Local-gov,214242,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
24,Self-emp-not-inc,322931,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,40,United-States,>50K
48,Private,141944,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4386,0,40,United-States,>50K
32,Private,193042,Prof-school,15,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K
33,Federal-gov,182714,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,>50K
50,Federal-gov,172046,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
34,Private,122616,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,84,United-States,>50K
60,Self-emp-not-inc,148492,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,50,United-States,>50K
23,Private,106957,11th,7,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,14344,0,40,Vietnam,>50K
32,Private,29312,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,80,United-States,>50K
43,?,116632,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,45,United-States,>50K
32,Private,256362,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
42,Private,183479,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
36,Self-emp-not-inc,313853,Bachelors,13,Divorced,Other-service,Unmarried,Black,Male,0,0,45,United-States,>50K
46,Private,220269,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
29,Self-emp-not-inc,169544,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,40,United-States,>50K
36,Private,214604,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States,>50K
27,Private,81540,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
50,Private,24013,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,84,United-States,>50K
41,Self-emp-not-inc,113324,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,>50K
37,Local-gov,221740,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,30,United-States,>50K
59,Private,157932,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
38,Private,354739,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,36,Philippines,>50K
48,Local-gov,189762,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
80,?,29020,Prof-school,15,Married-civ-spouse,?,Husband,White,Male,10605,0,10,United-States,>50K
33,Private,196385,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,>50K
44,Self-emp-not-inc,104973,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
48,Local-gov,238959,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,9562,0,40,United-States,>50K
52,Self-emp-inc,181855,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99999,0,65,United-States,>50K
47,State-gov,120429,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
26,Private,202033,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
48,Local-gov,334409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
56,State-gov,671292,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,38,United-States,>50K
46,State-gov,192779,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Male,0,2258,38,United-States,>50K
30,Private,132601,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K
41,Self-emp-inc,253060,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,45,United-States,>50K
50,Private,108435,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
47,Private,183522,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States,>50K
27,Self-emp-not-inc,442612,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,65,United-States,>50K
50,Local-gov,183390,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K
29,Private,243660,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K
54,Private,50385,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,45,United-States,>50K
47,State-gov,187581,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,48,United-States,>50K
52,Federal-gov,221532,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,45,United-States,>50K
49,State-gov,142856,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
36,Private,29702,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States,>50K
33,Private,394447,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,33,United-States,>50K
55,Private,229029,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,48,United-States,>50K
36,Private,91037,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
44,Private,171484,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
57,Private,200453,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,40,United-States,>50K
61,?,30475,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K
39,Private,70995,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,99,United-States,>50K
36,Local-gov,247807,Assoc-voc,11,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
58,Private,163113,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,35,United-States,>50K
90,Private,87372,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,72,United-States,>50K
34,Private,319854,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,Taiwan,>50K
34,Private,159255,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
35,Private,186934,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
58,Private,372181,HS-grad,9,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,>50K
47,Self-emp-not-inc,172034,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,75,United-States,>50K
41,Private,156566,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4386,0,50,United-States,>50K
35,Self-emp-inc,338320,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
46,Self-emp-not-inc,342907,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United-States,>50K
69,Self-emp-inc,169717,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,6418,0,45,United-States,>50K
31,Private,119432,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
37,Local-gov,312232,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,5178,0,40,United-States,>50K
37,Private,186934,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K
31,Private,22201,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K
46,Private,216999,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,>50K
46,Private,117849,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
33,Self-emp-not-inc,202729,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
33,Private,149726,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
53,Federal-gov,205288,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,35,United-States,>50K
45,Private,89028,HS-grad,9,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,10520,0,40,United-States,>50K
34,Private,97723,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
36,Private,193026,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,200574,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
47,State-gov,123219,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K
29,Private,137618,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,41,United-States,>50K
40,Self-emp-inc,190290,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,?,>50K
42,Private,162003,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,36,United-States,>50K
36,Private,190759,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
57,Private,173832,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States,>50K
35,Private,287548,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
34,Self-emp-inc,314375,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
44,Private,203943,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,35,United-States,>50K
45,Private,201699,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
28,Private,96020,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K
30,Private,205950,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
40,Private,221172,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
37,Private,66686,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
65,?,325537,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K
30,Self-emp-not-inc,250499,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,55,United-States,>50K
32,Private,167531,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,15024,0,50,United-States,>50K
43,Private,99212,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,48,United-States,>50K
38,Local-gov,421446,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,>50K
55,Local-gov,28151,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,>50K
90,Private,46786,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,9386,0,15,United-States,>50K
44,Private,182402,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
63,Self-emp-inc,189253,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
34,Self-emp-not-inc,204375,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K
47,Private,148995,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,>50K
42,Self-emp-inc,168071,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,43,United-States,>50K
32,Private,204374,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
43,Private,60001,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,44,United-States,>50K
29,Private,188675,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Jamaica,>50K
41,Private,188615,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
58,Private,322691,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
32,Private,130057,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
46,State-gov,119904,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,1564,55,United-States,>50K
62,Private,134768,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
56,Private,132026,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,7688,0,45,United-States,>50K
37,Private,60722,Some-college,10,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Japan,>50K
34,Self-emp-not-inc,313729,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
45,Private,140644,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
30,Private,203488,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
51,Self-emp-not-inc,132341,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
38,Private,312771,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
47,Private,254367,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
43,Private,152629,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
41,Private,233130,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
25,Private,75759,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,44,United-States,>50K
50,Private,34832,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,15024,0,40,United-States,>50K
44,Private,174283,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
41,Private,35166,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K
24,Private,161092,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
34,Self-emp-not-inc,179673,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,60,United-States,>50K
46,State-gov,248895,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
29,Private,134890,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
58,Private,197319,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
37,Self-emp-not-inc,268598,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,7298,0,50,Puerto-Rico,>50K
39,Self-emp-inc,216473,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
56,Private,139616,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K
59,Private,232672,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
58,Self-emp-inc,130454,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
39,Self-emp-not-inc,65716,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
41,Private,101593,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
54,Self-emp-not-inc,242606,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,4386,0,45,United-States,>50K
47,Federal-gov,137917,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
52,Private,416059,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,>50K
68,Private,193666,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,55,United-States,>50K
29,Private,149324,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1485,40,United-States,>50K
40,Private,259307,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
51,Self-emp-not-inc,74160,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,0,0,60,United-States,>50K
38,Local-gov,193026,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
77,?,28678,Masters,14,Married-civ-spouse,?,Husband,White,Male,9386,0,6,United-States,>50K
70,Private,282642,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,2174,40,United-States,>50K
44,Local-gov,177240,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,10520,0,40,United-States,>50K
37,Private,218490,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,El-Salvador,>50K
47,Federal-gov,117628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
34,Private,101345,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,>50K
51,Local-gov,176751,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K
38,Private,127601,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K
34,Private,207668,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1887,40,United-States,>50K
36,Private,114605,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
32,Private,164197,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
54,Private,329266,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K
46,Private,123598,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,>50K
32,Private,134737,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
37,Private,82622,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
44,Self-emp-not-inc,231348,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K
39,State-gov,99156,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
47,?,149700,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,36,United-States,>50K
47,Private,189680,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K
35,Private,374524,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,75,United-States,>50K
60,Self-emp-not-inc,127805,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
37,Private,241998,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,>50K
48,Federal-gov,156410,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,50,United-States,>50K
28,Self-emp-not-inc,175406,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,30,United-States,>50K
33,?,193172,Assoc-voc,11,Married-civ-spouse,?,Own-child,White,Female,7688,0,50,United-States,>50K
58,State-gov,400285,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K
